xt_combined,label,source_file,text_hash,added_at
re razor users re what s wrong with the razor servers now on monday august 12 2002 at 11 06 am jehan wrote craig r hughes wrote this is i think the biggest fallacy here you don t have to block jack shit to get a high trust rating you just have to confirm razor s existing opinion on a large number of messages if check spam then submit else revoke that algorithm boosts trust but reduces the information in spamnet by damping if you know a way to prevent people spammer or not to do that while allowing you to do it pray tell me and i imagine easily that if someone submit revoke at a very high rate some alarm triggers on razor s server resulting in their user id to be disabled deleted i also suspect that the more you submit revoke the same mail the less influence it has on your trust and since there isn t millions of different spam it s always the same ones coming back over and over with maybe one or two different words i e the same mail if fuzzy signatures work well i guess that spammer will reach there limit pretty quickly i was thinking you could easily create a spamtrap which you subscribe to lots of legitimate nonspam mailing lists plus you also spread the email address around and get it in the hands of lots of spammers so it ends up receiving large quantities of both spam and nonspam then you have it apply the algorithm above to the incoming mail stream so it could be thousands of actual real different emails per day the very high rate triggers alarms thing is certainly something which would be possible to check for but there may be legitimate ways to exhibit this behavior can t think of one right now but aol proxy server springs to mind as an example from another domain c this sf net email is sponsored by dice the leading online job board for high tech professionals search and apply for tech jobs today http seeker dice com seeker epl rel code 31 razor users mailing list razor users lists sourceforge net https lists sourceforge net lists listinfo razor users,0,ham_1_00617.3900da1df666d45653492bd0f47fdada.eml,a8ead3ccd4fdfc2454f8d8e2315290eccd2ccb1a3eaa834fe72e8c3a24946cd2,2026-05-23T09:58:29.159278+00:00
re iiu spyware calling home do you know which app is making the connection at 20 18 03 08 02 0100 you wrote hello all i m looking for advice my pc has developed a disturbing tendency of trying to access ip 62 17 143 253 without my consent it has got to the stage where normal web browsing is almost impossible i have checked ip address on ripe database and i know precisely who is being called i contacted that company on 14 july when the problem first arose and asked for a remedy but surprise got no reply a helpful person on the ie comp list suggested adaware spyware removal i ran this and haven t had a problem again until today the offending program is obviously not in adaware db i run adaware with current ref files every day now any suggestions please for removing whatever the f is causing this from my pc brian iiu mailing list iiu iiu taint org http iiu taint org mailman listinfo iiu martin whelan d ise design www deisedesign com tel 086 8888975 our core product d iseditor allows organisations to publish information to their web site in a fast and cost effective manner there is no need for a full time web developer as the site can be easily updated by the organisations own staff instant updates to keep site information fresh sites which are updated regularly bring users back visit www deisedesign com deiseditor html for a demonstration d iseditor managing your information iiu mailing list iiu iiu taint org http iiu taint org mailman listinfo iiu,0,ham_2_00497.90e2604fc85ac552b46a924e795302a7.eml,bc6b7d1c21188c1d031650c8b822aeb45cf108c1a52fa642fbadce1c770ab1ba,2026-05-23T09:58:29.159595+00:00
re changed location of incoming mail exmh not working on thu 05 sep 2002 14 40 53 pdt siva doriaswamy writes recently my incoming mail or spool location moved to another disk i m not quite clear how to reconfigure procmail rcvstore exmh to accept mail from the new location how do you feed procmail not with a forward i d guess how does mail enter your system anyway per fetchmail maybe or direct smtp delivery or does it just magically hit your spool lotsa questions cheers rw booze because one doesn t solve the world s problems over white wine,0,ham_3_1057.3f02467f2419b7400e5afa8c8df961de.eml,a06f281034efc06bed202437c9b83684c61a22bf42c755dd384cca7887a40958,2026-05-23T09:58:29.159883+00:00
re gentoo 0 11 28 is out on thu 18 jul 2002 13 00 29 0200 matthias saou wrote once upon a time matthias wrote see subject see valhalla freshrpms net hi matthias you should temporarly remove gentoo 0 11 29 from valhalla freshrpms net this build and 0 11 28 has a strong bug problems with copying deep directories have reported this to emil he looks currently into it a fix should be available soon sorry regards from germany matthias rpm list mailing list http lists freshrpms net mailman listinfo rpm list,0,ham_4_00674.bce8a0d5cf2fcc9888c9c2f88725df78.eml,a5969e236b818e065a1dd03b7b66351ab4cd377e5368d6011f070ebe07d1fc87,2026-05-23T09:58:29.160103+00:00
spambayes test sets note that header names are case insensitive so this one s no different than mime version similarly other headers in your list ignoring case here may or may not help that s for experiment to decide it s plausible that case is significant if e g a particular spam mailing package generates unusual case or a particular clueless spammer misconfigures his package i found it made no difference for my testing the brilliance of anthony s just count them scheme is that it requires no thought so can t be fooled header lines that are evenly distributed across spam and ham will turn out to be worthless indicators prob near 0 5 so do no harm zactly i started off doing clever clever things and as always with this stuff found that stupid with a rock beats smart with scissors every time anthony baxter it s never too late to have a happy childhood,0,ham_5_1787.94ca5ccaec9be05c252bf32961a86a3d.eml,0e16a3cfc780152488eb95aebe280bd84d10aec4426125c3158554c4f5f8f960,2026-05-23T09:58:29.160247+00:00
sourceforge sells out url http www askbjoernhansen com archives 2002 09 24 html date 2002 09 24t02 35 59 08 00 you are not still using sourceforge are you if you have any hopes that they are anything but yet another business giving away a free service then see this selling microsoft visualstudio on the open source development platform nice touch click on the image for the original screenshot,0,ham_6_2134.6cdd3f522ea2e84ddbc75ad2d594b3a5.eml,3adfa1569583612c678c0ee519980bc6ca5abc528e1f1ef6fa56ef35a3c79422,2026-05-23T09:58:29.160376+00:00
bush veto on middle east talks url http www newsisfree com click 6 8572777 215 date 2002 10 05t03 05 37 01 00 humiliating rebuff for blair initiative comes only days after plan was announced at the labour conference,0,ham_7_02282.600d0cbbcde2ef57a436ea913c7b4dd6.eml,7fe02338843cf68ab302bd57eb0fff779131df5f5f34710c63cca67b362b7f71,2026-05-23T09:58:29.160490+00:00
america s great misleader url http www newsisfree com click 2 8674045 215 date 2002 10 08t16 56 00 01 00 world dispatch bush s arguments strain the limits of plausibility to justify war on iraq and this says simon tisdall means regime change is imperative in washington,0,ham_8_2521.8e5616c36de4145286f63b8ddd50f429.eml,7409b111f26956cefae9058c8289b3e75dcfe6d8c37bf042ca7f60f729a45ab9,2026-05-23T09:58:29.160609+00:00
re problem with an rpm do i need to do anything to recreate anything after deleting this i did notice an rpm i made the other day didn t work and just sat there for ages seemingly doing nothing which probably did this ok now i get fetched 88 1kb in 2m31s 581b s error cannot get exclusive lock on var lib rpm packages error cannot open packages index using db3 operation not permitted 1 e could not open rpm database cannot open packages index using db3 operation not permitted 1 arrrrg on tuesday february 05 2002 15 06 28 0100 roy magne mo wrote it s not the rpm it s the rpm system with you the cache seems to have rottened try removing var lib rpm db m if i seem super human i have been misunderstood c dream theater mark talios com icq 1934853 jid talios myjabber net rpm list mailing list http lists freshrpms net mailman listinfo rpm list,0,ham_9_01090.a6575cc193fe3bb9f143aa0eb4fed7ac.eml,77c04173ce839f17fff80fbb0cdec3a73ff46e3d0a42b06ce798f7f5fa962e17,2026-05-23T09:58:29.160813+00:00
sacvs cvs spamassassin configure 1 1 2 1 1 1 2 2 configure in 1 1 2 1 1 1 2 2 update of cvsroot spamassassin spamassassin in directory usw pr cvs1 tmp cvs serv15398 modified files tag b2 4 0 configure configure in log message netbsd support patch from klaus heinz bug 785 index configure rcs file cvsroot spamassassin spamassassin configure v retrieving revision 1 1 2 1 retrieving revision 1 1 2 2 diff b w u d r1 1 2 1 r1 1 2 2 configure 27 aug 2002 23 07 13 0000 1 1 2 1 configure 28 aug 2002 23 29 04 0000 1 1 2 2 1273 18 1273 22 cat conftest ac ext include int main printf d shut rd return 0 return 0 eof if eval ac cpp conftest ac ext 2 5 egrep shut rd dev null 2 1 then if eval echo configure 1283 ac compile 1 5 eval ac compile 2 5 then rm rf conftest shutrd yes else echo configure failed program was 5 cat conftest ac ext 5 rm rf conftest shutrd no fi rm f conftest rm f conftest fi 1298 7 1302 7 echo ac n checking for socket in lsocket ac c 1 6 echo configure 1302 checking for socket in lsocket 5 echo configure 1306 checking for socket in lsocket 5 ac lib var echo socket socket sed y p if eval test echo ac cv lib ac lib var set set then echo ac n cached ac c 1 6 1306 7 1310 7 ac save libs libs libs lsocket libs cat conftest ac ext 5 eval ac link 2 5 test s conftest ac exeext then if eval echo configure 1325 ac link 1 5 eval ac link 2 5 test s conftest ac exeext then rm rf conftest eval ac cv lib ac lib var yes else 1345 7 1349 7 fi echo ac n checking for connect in linet ac c 1 6 echo configure 1349 checking for connect in linet 5 echo configure 1353 checking for connect in linet 5 ac lib var echo inet connect sed y p if eval test echo ac cv lib ac lib var set set then echo ac n cached ac c 1 6 1353 7 1357 7 ac save libs libs libs linet libs cat conftest ac ext 5 eval ac link 2 5 test s conftest ac exeext then if eval echo configure 1372 ac link 1 5 eval ac link 2 5 test s conftest ac exeext then rm rf conftest eval ac cv lib ac lib var yes else 1392 7 1396 7 fi echo ac n checking for t accept in lnsl ac c 1 6 echo configure 1396 checking for t accept in lnsl 5 echo configure 1400 checking for t accept in lnsl 5 ac lib var echo nsl t accept sed y p if eval test echo ac cv lib ac lib var set set then echo ac n cached ac c 1 6 1400 7 1404 7 ac save libs libs libs lnsl libs cat conftest ac ext 5 eval ac link 2 5 test s conftest ac exeext then if eval echo configure 1419 ac link 1 5 eval ac link 2 5 test s conftest ac exeext then rm rf conftest eval ac cv lib ac lib var yes else 1439 7 1443 7 fi echo ac n checking for dlopen in ldl ac c 1 6 echo configure 1443 checking for dlopen in ldl 5 echo configure 1447 checking for dlopen in ldl 5 ac lib var echo dl dlopen sed y p if eval test echo ac cv lib ac lib var set set then echo ac n cached ac c 1 6 1447 7 1451 7 ac save libs libs libs ldl libs cat conftest ac ext 5 eval ac link 2 5 test s conftest ac exeext then if eval echo configure 1466 ac link 1 5 eval ac link 2 5 test s conftest ac exeext then rm rf conftest eval ac cv lib ac lib var yes else 1489 12 1493 12 for ac func in socket strdup strtod strtol snprintf shutdown do echo ac n checking for ac func ac c 1 6 echo configure 1493 checking for ac func 5 echo configure 1497 checking for ac func 5 if eval test echo ac cv func ac func set set then echo ac n cached ac c 1 6 else cat conftest ac ext 5 eval ac link 2 5 test s conftest ac exeext then if eval echo configure 1525 ac link 1 5 eval ac link 2 5 test s conftest ac exeext then rm rf conftest eval ac cv func ac func yes else 1544 20 1548 20 echo ac n checking for h errno ac c 1 6 echo configure 1548 checking for h errno 5 echo configure 1552 checking for h errno 5 if eval test echo herrno set set then echo ac n cached ac c 1 6 else cat conftest ac ext int main printf d h errno return 0 return 0 eof if eval echo configure 1561 ac compile 1 5 eval ac compile 2 5 then if eval echo configure 1565 ac compile 1 5 eval ac compile 2 5 then rm rf conftest herrno yes else 1580 20 1584 20 echo ac n checking for optarg ac c 1 6 echo configure 1584 checking for optarg 5 echo configure 1588 checking for optarg 5 if eval test echo haveoptarg set set then echo ac n cached ac c 1 6 else cat conftest ac ext int main if optarg char 0l return 0 return 1 return 0 eof if eval echo configure 1597 ac compile 1 5 eval ac compile 2 5 then if eval echo configure 1601 ac compile 1 5 eval ac compile 2 5 then rm rf conftest haveoptarg yes else 1616 20 1620 21 echo ac n checking for in addr t ac c 1 6 echo configure 1620 checking for in addr t 5 echo configure 1624 checking for in addr t 5 if eval test echo inaddrt set set then echo ac n cached ac c 1 6 else cat conftest ac ext include int main in addr t foo return 0 return 0 eof if eval echo configure 1633 ac compile 1 5 eval ac compile 2 5 then if eval echo configure 1638 ac compile 1 5 eval ac compile 2 5 then rm rf conftest inaddrt yes else 1645 12 1650 12 echo ac t inaddrt 1 6 if test inaddrt no then echo ac n checking for in addr t ac c 1 6 echo configure 1649 checking for in addr t 5 echo configure 1654 checking for in addr t 5 if eval test echo ac cv type in addr t set set then echo ac n cached ac c 1 6 else cat conftest ac ext if stdc headers 1681 20 1686 21 echo ac n checking for inaddr none ac c 1 6 echo configure 1685 checking for inaddr none 5 echo configure 1690 checking for inaddr none 5 if eval test echo haveinaddrnone set set then echo ac n cached ac c 1 6 else cat conftest ac ext include int main in addr t foo inaddr none return 0 return 0 eof if eval echo configure 1698 ac compile 1 5 eval ac compile 2 5 then if eval echo configure 1704 ac compile 1 5 eval ac compile 2 5 then rm rf conftest haveinaddrnone yes else 1717 20 1723 23 echo ac n checking for ex max ac c 1 6 echo configure 1721 checking for ex max 5 echo configure 1727 checking for ex max 5 if eval test echo haveexmax set set then echo ac n cached ac c 1 6 else cat conftest ac ext endif include int main int foo ex max return 0 return 0 eof if eval echo configure 1734 ac compile 1 5 eval ac compile 2 5 then if eval echo configure 1743 ac compile 1 5 eval ac compile 2 5 then rm rf conftest haveexmax yes else index configure in rcs file cvsroot spamassassin spamassassin configure in v retrieving revision 1 1 2 1 retrieving revision 1 1 2 2 diff b w u d r1 1 2 1 r1 1 2 2 configure in 27 aug 2002 23 07 13 0000 1 1 2 1 configure in 28 aug 2002 23 29 04 0000 1 1 2 2 26 9 26 11 ac cache check for shut rd shutrd ac egrep header shut rd sys socket h ac try compile include include printf d shut rd return 0 shutrd yes shutrd no shutrd no if test shutrd yes then ac define have shut rd 73 7 75 8 ac cache check for in addr t inaddrt ac try compile include ac try compile include include in addr t foo return 0 inaddrt yes inaddrt no 86 7 89 8 ac cache check for inaddr none haveinaddrnone ac try compile include ac try compile include include in addr t foo inaddr none return 0 haveinaddrnone yes haveinaddrnone no 99 7 103 10 ac cache check for ex max haveexmax ac try compile include ac try compile ifdef have sysexits h include endif include int foo ex max return 0 haveexmax yes haveexmax no this sf net email is sponsored by jabber the world s fastest growing real time communications platform don t just im build it in http www jabber com osdn xim spamassassin commits mailing list spamassassin commits lists sourceforge net https lists sourceforge net lists listinfo spamassassin commits,0,ham_10_01371.2e4162848b6034ea5ba93431c6d69d36.eml,4d3a0ceaa256966ce35efa86684989e9b9e31e7d590183ef92c4534c27830b9f,2026-05-23T09:58:29.161636+00:00
